SKU,Retail Price,Unit of Measure,Region,Meter,Product Name
Standard_NC12s_v3,2.817036,1 Hour,westus3,NC12s v3 Spot,Virtual Machines NCSv3 Series
Standard_NV4as_v4,0.417,1 Hour,westus3,NV4as v4,Virtual Machines NVasv4 Series Windows
Standard_ND96asr_A100_v4,5.439,1 Hour,westus3,ND96asr A100 v4 Low Priority,Virtual Machines NDasr A100 v4 Series
Standard_NC4as_T4_v3,0.105,1 Hour,westus3,NC4as T4 v3 Low Priority,Virtual Machines NCasT4 v3 Series
Standard_NC24s_v3,13.344,1 Hour,westus3,NC24s v3,Virtual Machines NCSv3 Series Windows
Standard_NC48ads_A100_v4,3.822,1 Hour,westus3,NC48ads_A100_v4 Low Priority,NCads A100 v4 Series Windows
Standard_NC48ads_A100_v4,7.346,1 Hour,westus3,NC48ads_A100_v4,NCads A100 v4 Series Linux
Standard_NV36adms_A10_v5,2.47,1 Hour,westus3,NV36adms A10 v5 Low Priority,Virtual Machines NVadsA10v5 Series Windows
Standard_NC24s_v3,5.634072,1 Hour,westus3,NC24s v3 Spot,Virtual Machines NCSv3 Series
Standard_NC24rs_v3,14.568,1 Hour,westus3,NC24rs v3,Virtual Machines NCSv3 Series Windows
Standard_NV16as_v4,0.0932,1 Hour,westus3,NV16as v4 Spot,Virtual Machines NVasv4 Series
Standard_NG8ads_V620_v1,1.463,1 Hour,westus3,NG8adsV620,Virtual Machines NGadsV620v1 Series Windows
Standard_NV8as_v4,0.09224,1 Hour,westus3,NV8as v4 Spot,Virtual Machines NVasv4 Series Windows
Standard_ND96amsr_A100_v4,32.77,1 Hour,westus3,ND96amsr A100 v4,Virtual Machines NDamsr A100 v4 Series Linux
Standard_NV18ads_A10_v5,1.6,1 Hour,westus3,NV18ads A10 v5,Virtual Machines NVadsA10v5 Series
Standard_NV4as_v4,0.0233,1 Hour,westus3,NV4as v4 Spot,Virtual Machines NVasv4 Series
Standard_NV72ads_A10_v5,1.304,1 Hour,westus3,NV72ads A10 v5 Low Priority,Virtual Machines NVadsA10v5 Series
Standard_NC6s_v3,0.612,1 Hour,westus3,NC6s v3 Low Priority,Virtual Machines NCSv3 Series
Standard_NV12ads_A10_v5,0.182,1 Hour,westus3,NV12ads A10 v5 Low Priority,Virtual Machines NVadsA10v5 Series
Standard_NC16as_T4_v3,0.1204,1 Hour,westus3,NC16asT4 v3 Spot,Virtual Machines NCasT4 v3 Series
Standard_NV32as_v4,0.373,1 Hour,westus3,NV32as v4 Low Priority,Virtual Machines NVasv4 Series
Standard_ND96amsr_A100_v4,37.186,1 Hour,westus3,ND96amsr A100 v4,Virtual Machines NDamsr A100 v4 Series Windows
